Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Peru,PER,2017,"Population, total",SP.POP.TOTL,32165485
Peru,PER,2016,"Population, total",SP.POP.TOTL,31773839
Peru,PER,2015,"Population, total",SP.POP.TOTL,31376671
Peru,PER,2014,"Population, total",SP.POP.TOTL,30973354
Peru,PER,2013,"Population, total",SP.POP.TOTL,30565716
Peru,PER,2012,"Population, total",SP.POP.TOTL,30158966
Peru,PER,2011,"Population, total",SP.POP.TOTL,29759989
Peru,PER,2010,"Population, total",SP.POP.TOTL,29373646
Peru,PER,2009,"Population, total",SP.POP.TOTL,29001507
Peru,PER,2008,"Population, total",SP.POP.TOTL,28641980
Peru,PER,2007,"Population, total",SP.POP.TOTL,28292724
Peru,PER,2006,"Population, total",SP.POP.TOTL,27949944
Peru,PER,2005,"Population, total",SP.POP.TOTL,27610410
Peru,PER,2004,"Population, total",SP.POP.TOTL,27273194
Peru,PER,2003,"Population, total",SP.POP.TOTL,26937738
Peru,PER,2002,"Population, total",SP.POP.TOTL,26601467
Peru,PER,2001,"Population, total",SP.POP.TOTL,26261363
Peru,PER,2000,"Population, total",SP.POP.TOTL,25914879
Peru,PER,1999,"Population, total",SP.POP.TOTL,25561299
Peru,PER,1998,"Population, total",SP.POP.TOTL,25199748
Peru,PER,1997,"Population, total",SP.POP.TOTL,24827406
Peru,PER,1996,"Population, total",SP.POP.TOTL,24441074
Peru,PER,1995,"Population, total",SP.POP.TOTL,24038760
Peru,PER,1994,"Population, total",SP.POP.TOTL,23619356
Peru,PER,1993,"Population, total",SP.POP.TOTL,23184228
Peru,PER,1992,"Population, total",SP.POP.TOTL,22737056
Peru,PER,1991,"Population, total",SP.POP.TOTL,22283128
Peru,PER,1990,"Population, total",SP.POP.TOTL,21826658
Peru,PER,1989,"Population, total",SP.POP.TOTL,21368859
Peru,PER,1988,"Population, total",SP.POP.TOTL,20909895
Peru,PER,1987,"Population, total",SP.POP.TOTL,20451710
Peru,PER,1986,"Population, total",SP.POP.TOTL,19996253
Peru,PER,1985,"Population, total",SP.POP.TOTL,19544956
Peru,PER,1984,"Population, total",SP.POP.TOTL,19099584
Peru,PER,1983,"Population, total",SP.POP.TOTL,18660439
Peru,PER,1982,"Population, total",SP.POP.TOTL,18225730
Peru,PER,1981,"Population, total",SP.POP.TOTL,17792549
Peru,PER,1980,"Population, total",SP.POP.TOTL,17359120
Peru,PER,1979,"Population, total",SP.POP.TOTL,16924753
Peru,PER,1978,"Population, total",SP.POP.TOTL,16491083
Peru,PER,1977,"Population, total",SP.POP.TOTL,16061323
Peru,PER,1976,"Population, total",SP.POP.TOTL,15639901
Peru,PER,1975,"Population, total",SP.POP.TOTL,15229947
Peru,PER,1974,"Population, total",SP.POP.TOTL,14832841
Peru,PER,1973,"Population, total",SP.POP.TOTL,14447648
Peru,PER,1972,"Population, total",SP.POP.TOTL,14072476
Peru,PER,1971,"Population, total",SP.POP.TOTL,13704335
Peru,PER,1970,"Population, total",SP.POP.TOTL,13341069
Peru,PER,1969,"Population, total",SP.POP.TOTL,12982449
Peru,PER,1968,"Population, total",SP.POP.TOTL,12629329
Peru,PER,1967,"Population, total",SP.POP.TOTL,12282082
Peru,PER,1966,"Population, total",SP.POP.TOTL,11941325
Peru,PER,1965,"Population, total",SP.POP.TOTL,11607681
Peru,PER,1964,"Population, total",SP.POP.TOTL,11281015
Peru,PER,1963,"Population, total",SP.POP.TOTL,10961540
Peru,PER,1962,"Population, total",SP.POP.TOTL,10650667
Peru,PER,1961,"Population, total",SP.POP.TOTL,10350242
Peru,PER,1960,"Population, total",SP.POP.TOTL,10061515
Peru,PER,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.92414443
Peru,PER,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.68024573
Peru,PER,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.45530686
Peru,PER,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.24816272
