GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,#indicator+value+num,,,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,SHLM,Secondary or higher,,,,,,,,,,,,,,87.0 [85.7-88.1],86.95468,85.67469,88.13614,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199603,03 apurimac,,75.1 [67.2-81.6],75.06849,67.21438,81.55734,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199604,04 arequipa,,89.5 [85.9-92.2],89.47369,85.93588,92.20231,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199605,05 ayacucho,,56.1 [47.0-64.8],56.1194,47.04358,64.80352,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199606,06 cajamarca,,44.3 [33.2-56.1],44.3491,33.15958,56.14292,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199620,20 puno,,64.7 [57.6-71.1],64.66165,57.6313,71.11022,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199621,21 san martin,,72.1 [67.5-76.3],72.09303,67.46667,76.29267,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199622,22 tacna,,87.4 [83.1-90.8],87.4477,83.06934,90.81893,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199623,23 tumbes,,84.2 [80.3-87.4],84.17722,80.33702,87.38519,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ2,Q2,,,,,67.0 [64.4-69.5],66.9799,64.36712,69.4919,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ4,Q4,,,,,89.5 [87.1-91.4],89.46497,87.10119,91.43815,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,NHLM,None,,,,,,,,,,,,,,40.1 [35.9-44.4],40.06378,35.86759,44.41093,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,URB,Urban,,,,,,,,84.0 [82.6-85.2],83.96372,82.59766,85.24171,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199601,01 amazonas,,35.9 [28.8-43.7],35.91549,28.84344,43.65765,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199608,08 hauncavelica,,35.9 [28.3-44.3],35.91022,28.30814,44.29255,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199610,10 ica,,89.4 [84.5-92.8],89.3617,84.46319,92.84659,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199615,15 loreto,,43.4 [38.2-48.8],43.43434,38.19099,48.82888,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199617,17 moquegua,,87.8 [80.6-92.6],87.77778,80.57797,92.55518,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199619,19 piura,,61.5 [55.8-66.9],61.50034,55.81197,66.89084,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199624,24 ucayali,,53.7 [46.5-60.7],53.70844,46.51883,60.74709,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199611,11 junin,,59.3 [50.3-67.7],59.31035,50.3405,67.69957,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199612,12 la libertad,,61.7 [52.8-70.0],61.74699,52.7798,69.97986,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199613,13 lambayeque,,75.2 [67.5-81.5],75.15723,67.47803,81.51979,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199614,14 lima,,88.5 [86.1-90.5],88.48932,86.12305,90.49662,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,39.5 [35.7-43.4],39.49896,35.68404,43.44623,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ3,Q3,,,,,81.1 [78.8-83.3],81.11859,78.77328,83.25983,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ5,Q5 (Richest),,,,,96.9 [95.4-98.0],96.93771,95.37659,97.98286,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,PRLM,Primary,,,,,,,,,,,,,,53.8 [51.1-56.5],53.81793,51.10862,56.50487,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,RUR,Rural,,,,,,,,48.5 [45.2-51.8],48.5365,45.24337,51.8424,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199602,02 ancash,,75.0 [66.7-81.7],74.95309,66.69194,81.7267,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199607,07 cusco,,81.8 [77.7-85.3],81.78699,77.70103,85.2662,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199609,09 huanuco,,45.0 [37.6-52.6],44.97207,37.58908,52.5834,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199616,16 madre de dios,,70.2 [63.5-76.1],70.19608,63.52293,76.1076,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS199618,18 pasco,,53.6 [46.8-60.2],53.57143,46.78928,60.224,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ2,Q2,,,,,82.5 [80.1-84.7],82.52369,80.10711,84.70277,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ3,Q3,,,,,92.3 [90.2-94.0],92.31613,90.1997,94.00588,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ4,Q4,,,,,95.1 [93.1-96.6],95.12872,93.0502,96.60826,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ5,Q5 (Richest),,,,,98.2 [96.4-99.1],98.22346,96.44175,99.12115,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,RUR,Rural,,,,,,,,75.0 [72.6-77.2],75.00579,72.63997,77.23116,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200001,01 amazonas,,61.0 [54.2-67.4],61.01191,54.21275,67.40839,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200002,02 ancash,,80.8 [74.7-85.8],80.84291,74.66319,85.802,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200015,15 loreto,,63.8 [54.1-72.4],63.75321,54.10077,72.41094,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200016,16 madre de dios,,91.3 [87.2-94.2],91.31833,87.23074,94.18466,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200017,17 moquegua,,96.8 [91.4-98.8],96.77419,91.37131,98.8371,,,
